Site,Type,Number,HostOctet,OS,ConnectionType,Managed,Notes,SubnetSite,Legacy
CLD,ANS,1,9,Debian,ssh,,Ansible control node -- manages all sites,,no
CLD,RDR,1,12,Debian,ssh,,Rudder configuration management server,,no
CLD,SVR,2,20,Windows Server 2022,ssh,,Windows Admin Centre -- reaches all site DCs,,no
CLD,PBX,1,48,,ssh,,3CX PBX. No SBC in CLD so put the PBX there instead,,no
FRD,PRV,1,1,,none,,"Provisioning server (PXE, port 8000) -- legal fiction, physically a MacBook running python3 -m http.server 8000, mirroring /debian from Edinburgh. Detected via gateway 172.16.124.2 in menu.ipxe/late_command.sh; octet .1 here (not the standard .15 PRV slot) matches the real boot-url",,no
CLD,PBX,2,48,,ssh,,"Secondary 3CX PBX -- physically at Fredericia Havn (FRD Havn), hostnamed under CLD as part of the 2026-07-11 Pulsant DC / FRD Havn CLD network rework. No SBC on FRD's network either -- same reuse-the-empty-SBC-slot pattern as CLD's own PBX (CLD,PBX,1). Real IP stays on FRD's own subnet via SubnetSite.",FRD,no
VRK,DNS,1,8,Debian trixie,ssh,,DNS/BIND server -- jukebox.internal authoritative,,no
VRK,PRV,1,50,,none,,Provisioning server -- PXE / ISOs / Ansible keys / scripts,,no
VRK,FWL,1,69,,ssh,,Firewall WAN face (vRACK). LAN face 192.168.69.253,,no
FAL,RDR,1,16,,ssh,,HID Signo badge reader,,yes
FAL,SRV,1,20,,ssh,,Reserved -- standard convention slot,,yes
FAL,NAS,1,32,FreeNAS 13.0-U6,ssh,,Primary storage,,yes
FAL,TAR,1,33,Solaris Embedded,telnet,,Legacy tape archive,,yes
FAL,LCD,1,50,Samsung Tizen,http,,Reception display,,yes
FAL,VCU,1,51,Poly Studio X70,http,,Video conferencing,,yes
FAL,PMP,1,60,,none,,Networked petrol pump,,yes
FAL,TEA,1,61,,http,,Smart coffee machine,,yes
FAL,DON,1,62,VxWorks,http,,Donut vending,,yes
FAL,VND,2,63,NT4 Embedded,none,,Vending machine,,yes
FAL,VND,3,64,XPe,none,,Vending machine,,yes
FAL,VND,4,65,NT4,none,,Vending machine,,yes
FAL,VND,5,66,NT4,none,,Confectionery machine,,yes
FAL,MUS,1,67,,none,,Jukebox,,yes
FAL,CAM,1,70,Axis P3245-LVE,http,,Camera front entrance,,yes
FAL,CAM,2,71,Axis P3245-LVE,http,,Camera studio hallway,,yes
FAL,CAM,3,72,Axis P3245-LVE,http,,Camera car park,,yes
FAL,CAM,4,73,Axis P3245-LVE,http,,Camera rear loading bay,,no
FAL,CLK,1,80,,http,,Embedded NTP clock,,yes
FAL,PAY,1,95,,none,,GPO Kiosk No.6 payphone,,yes
FAL,WKS,1,100,Windows 11 Pro 23H2,winrm,,Workstation Analog Mixing Desk v1,,yes
FAL,WKS,3,102,Windows 11 Pro 23H2,winrm,,Workstation shared editing,,yes
FAL,LAP,1,103,Windows 11 Pro 23H2,winrm,,Production laptop,,yes
FAL,SUR,1,104,Windows 11 23H2,winrm,,Microsoft Surface,,yes
FAL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch 1,,yes
FAL,SWI,2,251,Cisco Catalyst 9300,snmp,,Core switch 2,,yes
FAL,RTR,2,1,FortiGate,telnet,,WAN edge router,,no
FAL,PHN,1,,Yealink T58A,http,,Phone 1,,yes
FAL,PHN,2,,Yealink T58A,http,,Phone 2,,yes
FAL,PHN,3,,Yealink T58A,http,,Phone 3,,yes
FAL,PHN,6,,Yealink T58A,http,,Phone 6,,yes
FAL,PHN,7,,Yealink T58A,http,,Phone 7,,yes
FAL,TAB,1,,,winrm,,Tablet,,yes
FAL,TTY,1,,,none,,VT320 serial terminal,,yes
FAL,BUS,1,,,none,,Tour bus 1,,review
FAL,BUS,2,,,none,,Tour bus 2,,review
FAL,BUS,3,,,none,,Tour bus 3,,review
FAL,CAR,1,,,none,,Car 1,,review
FAL,CAR,2,,,none,,Car 2,,review
FAL,CAR,3,,,none,,Car 3,,review
FAL,CAR,4,,,none,,Car 4,,review
FAL,CAR,5,,,none,,Car 5,,review
FAL,TRK,1,,,none,,Truck 1,,review
FAL,TRK,2,,,none,,Truck 2,,review
FAL,TRK,3,,,none,,Truck 3,,review
FAL,TRK,4,,,none,,Truck 4,,review
FAL,TRK,5,,,none,,Truck 5,,review
FAL,JET,1,,,none,,Jet 1,,review
FAL,JET,2,,,none,,Jet 2,,review
FAL,JET,3,,,none,,Jet 3,,review
FAL,JET,4,,,none,,Jet 4,,review
FAL,JET,5,,,none,,Jet 5,,review
EDI,DCR,2,12,Windows Server 2022,ssh,,DC secondary needs rebuild corrected to .12,,yes
EDI,DCR,3,13,Windows Server 2022,ssh,,DECOMMISSION PENDING corrected to .13,,yes
EDI,WKS,1,150,Windows 10 Pro 22H2,winrm,,Shared desktop,,yes
EDI,LAP,98,108,Windows 11 Pro 24H2,winrm,,Pool laptop,,yes
EDI,SWI,1,250,Cisco Catalyst 2960X,snmp,,Floor switch,,yes
EDI,SWI,2,251,Cisco Catalyst 2960X,snmp,,48-port switch,,yes
EDI,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
EDI,TEA,1,60,Siemens EQ700,http,,Coffee machine,,yes
GLA,PRN,1,16,HP LaserJet Pro,snmp,,Main floor printer,,yes
GLA,WKS,1,150,Windows 11 Pro,winrm,,Hot desk workstation,,yes
GLA,WKS,2,151,Windows 11 Pro,winrm,,Hot desk workstation,,yes
GLA,LAP,1,152,Windows 11 Pro,winrm,,Pool laptop,,yes
CLY,FWL,1,254,FortiOS 7.6.5,ssh,,VPN gateway,,yes
CLY,SRV,1,20,Rocky Linux,ssh,,Oracle DB server,,yes
CLY,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
CLY,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
CLY,SUR,1,,Windows 11,winrm,,Surface,,yes
CLY,PHN,1,,iOS,http,,Phone,,no
CLY,SUR,2,,Android,winrm,,Android tablet,,no
DUN,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
DUN,SUR,1,,Windows 11,winrm,,Surface,,yes
DUN,SUR,2,,Windows 11,winrm,,Surface,,yes
DUN,PHN,1,,iOS,http,,Phone,,yes
DUN,PHN,2,,iOS,http,,Phone,,yes
PER,NIX,1,40,Solaris 11.5,ssh,,MIDI archive,,yes
PER,NAS,1,50,Synology DSM 7.1,ssh,,NAS,,yes
PER,MBP,1,,macOS,ssh,,MacBook,,yes
PER,SUR,1,,Windows,winrm,,Surface,,yes
PER,PHN,1,,Yealink T46G,http,,Phone 1,,yes
PER,PHN,2,,Yealink T46G,http,,Phone 2,,yes
PER,PHN,3,,Yealink T46G,http,,Phone 3,,yes
PER,PHN,4,,Yealink T46G,http,,Phone 4,,yes
PER,PRN,1,,HP MFP,snmp,,Printer,,yes
PER,VND,1,,Embedded SP100,none,,Vending machine,,no
ABD,FWL,1,254,Cisco ASA 5506-X,ssh,,Edge firewall,,yes
ABD,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
ABD,MBP,1,,macOS,ssh,,MacBook,,yes
ABD,MBP,2,,macOS,ssh,,MacBook,,yes
ABD,PHN,1,,iOS,http,,iPhone,,yes
ABD,PHN,2,,iOS,http,,iPhone,,yes
LND,FWL,1,254,Cisco ASA 5516-X,ssh,,Perimeter firewall,,yes
LND,RAD,1,80,,none,,BBC Office Radio Mk II,,yes
LND,MIC,1,81,,none,,Shure SM7 via Dante audio,,yes
LND,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
LND,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
LND,WKS,1,150,Windows 11,winrm,,Workstation,,yes
LND,PRN,1,,Xerox WorkCentre,snmp,,Printer,,yes
LND,PRN,2,,,snmp,,Steno writer no IP,,yes
BIR,FWL,1,254,Palo Alto PAN-OS,ssh,,VPN gateway,,yes
BIR,SRV,1,20,Rocky Linux,ssh,,Oracle DB,,yes
BIR,MOO,1,70,,none,,Moog synth,,yes
BIR,LIN,1,71,,none,,Drum machine,,yes
BIR,FCL,1,72,QDOS 2.x,none,,Fairlight CMI,,yes
BIR,AST,1,73,TOS 1.04,none,,Atari ST,,yes
BIR,PAY,1,74,,none,,Payphone,,yes
BIR,LCD,1,75,NEC PlasmaSync,http,,NOC display,,yes
BIR,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes
BIR,SWI,2,251,Cisco Catalyst 48-port,snmp,,Access switch,,yes
BIR,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes
BIR,MBP,1,,macOS,ssh,,MacBook,,yes
BIR,TAB,1,,Android,winrm,,Galaxy Tab,,yes
BIR,PHN,1,,Android,http,,Samsung S25,,yes
MCR,SWI,1,250,Cisco Catalyst 9300,snmp,,Distribution switch,,yes
MCR,LAP,1,,Windows 11,winrm,,Laptop,,yes
MCR,LAP,2,,Windows 11,winrm,,Laptop,,yes
MCR,WKS,1,,Windows 10,winrm,,Desktop,,yes
MCR,WKS,2,,Windows 10,winrm,,Desktop,,yes
MCR,PRN,1,,,snmp,,Printer,,yes
LIV,SWI,1,250,Cisco Catalyst 9200,snmp,,Core switch,,yes
LIV,SVR,1,,Windows Server 2022,ssh,,File server,,yes
LIV,MBP,1,,macOS Tahoe,ssh,,MacBook Pro,,no
