Site,City,Country,CountryCode,Province,Street,PostalCode,Subnet,Gateway,DC,FW,Landline,Mobile,Timezone,AnsibleRegion,Entity
AAR,Aarhus,Denmark,DK,Nord Jyland,Åboulevarden 22,8000,192.168.86.0/24,192.168.86.253,192.168.86.10,192.168.86.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Aarhus,dk_site,Example Music (Danmark) ApS
ABD,Aberdeen,United Kingdom,UK,Scotland,1903 Aderson Drive,AB15 4YY,192.168.224.0/24,192.168.224.253,192.168.224.10,192.168.224.253,+44 1224 496 0xxx,+44 7700 900 2xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
AKL,Auckland,New Zealand,NZ,,"111D Cliffs Road, St Clair",9012,192.168.93.0/24,192.168.93.253,192.168.93.10,192.168.93.253,+64 9 300 0xxx,+64 21 900 2xxx,Pacific/Auckland,apac_site,Example Music (New Zealand) Tapui
AMS,Amsterdam,Netherlands,NL,North Holland,Stationsplein,1012 AB,192.168.31.0/24,192.168.31.253,192.168.31.10,192.168.31.253,N/A,N/A,Europe/Amsterdam,eu_site,Example Music (Nederland) B.V.
ATL,Atlanta,United States,US,Georgia,1016 East Broad St,30601,192.168.33.0/24,192.168.33.253,192.168.33.10,192.168.33.253,+1 334 300 0xxx,+1 770 900 2xxx,America/Chicago,us_site,Example Music (US) LLC.
BER,Berlin,Germany,DE,,Bernauer Straße 119,13355,192.168.113.0/24,192.168.113.253,192.168.113.10,192.168.113.253,+49 311 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BIR,Birmingham,United Kingdom,UK,England,"Building C, 104 Station St",B2 4QA,192.168.121.0/24,192.168.121.253,192.168.121.10,192.168.121.253,+44 121 496 0xxx,+44 7700 900 2xxx,Europe/London,uk_site,Example Music (England) Ltd
BON,Bonn,Germany,DE,,Berliner Platz 2,53103,192.168.228.0/24,192.168.228.253,192.168.228.10,192.168.228.253,+49 228 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BRD,West Berlin (legacy alias for BER),Germany,DE,,Bernauer Straße 111,13355,192.168.113.0/24,192.168.113.253,192.168.113.10,192.168.113.253,+49 311 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BRK,Brockville,Canada,CA,Ontario,141 Perth Street,K6V 5E4,192.168.136.0/24,192.168.136.253,192.168.136.10,192.168.136.253,+1 613 555 6xxx,+1 613 555 6xxx,America/Toronto,ca_site,Example Music (Canada) Inc.
BRT,Beirut,Lebanon,LB,,"1st Floor, General Aviation Terminal, Beirut Rafic Hariri Intl Airport",2010-1001,192.168.169.0/24,192.168.169.253,192.168.169.10,192.168.169.253,+961 1 555 xxxx,+961 3 555 xxxx,Asia/Beirut,lb_site,Example Music (Lebanon) SAL
CHI,Chicago,United States,US,Illinois,567 W. Lake Street,60661,192.168.214.0/24,192.168.214.253,192.168.214.10,192.168.214.253,+1 312 555 xxxx,+1 773 900 xxxx,America/Chicago,us_site,Example Music (US) LLC.
CLD,CloudSite,Global,N/A,,7 Claylands Road,EH28 8LF,192.168.69.0/24,192.168.69.253,192.168.69.10,192.168.69.253,N/A,N/A,UTC,cloud_site,Example Music Limited
CLY,Clydebank,United Kingdom,UK,Scotland,112 Second Ave,G81 3AZ,192.168.41.0/24,192.168.41.253,192.168.41.10,192.168.41.253,+44 141 496 00xx,+44 770 090 5xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
COV,Coventry,United Kingdom,UK,England,Highfield Road,CV2 4GF,192.168.247.0/24,192.168.247.253,192.168.247.10,192.168.247.253,+44 247 765 0xxx,+44 7700 901 2xxx,Europe/London,uk_site,Example Music (England) Ltd
CPH,Copenhagen,Denmark,DK,,"Folketinget Christiansborg, Rigsdagsgården 4",1218,192.168.231.0/24,192.168.231.253,192.168.231.10,192.168.231.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
DRS,Dresden,Germany,DE,Sachsen,Wiener Platz 4,01069,192.168.153.0/24,192.168.153.253,192.168.153.10,192.168.153.253,+49 351 555 xxx,+49 172 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
DUS,Dusseldorf,Germany,DE,Nordrhein-Westfalen,Konrad-Adenauer-Platz 14,40210,192.168.211.0/24,192.168.211.253,192.168.211.10,192.168.211.253,+49 211 555 xxx,+49 172 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
DUN,Dundee,United Kingdom,UK,Scotland,Tannadice St,DD3 7JW,192.168.138.0/24,192.168.138.253,192.168.138.10,192.168.138.253,+44 163 249 60xx,+44 770 090 82xx,Europe/London,uk_site,Example Music (Scotland) Ltd
EDI,Edinburgh,United Kingdom,UK,Scotland,Castlehill,EH1 2NG,192.168.131.0/24,192.168.131.253,192.168.131.10,192.168.131.253,+44 131 496 0xxx,+44 770 090 3xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
FAL,Falkirk,United Kingdom,UK,Scotland,"Brockville Stadium, 1876 Hope Street",FK1 1AA,192.168.76.0/24,192.168.76.253,192.168.76.10,192.168.76.253,+44 1324 500 0xxx,+44 7700 903 2xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
FAX,Faxe,Denmark,DK,,Faxe Allé 1,4640,192.168.246.0/24,192.168.246.253,192.168.246.10,192.168.246.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
FRD,Fredericia Havn,Denmark,DK,,Vesthavnsvej 33,DK-7000,172.16.124.0/24,172.16.124.2,172.16.124.10,172.16.124.253,N/A,N/A,Europe/Copenhagen,cloud_site,Example Music Limited
FRE,Fredericia,Denmark,DK,Sydøst Jyland,"Fredericia Banegård, Jernbanegade 2B",7000,192.168.75.0/24,192.168.75.253,192.168.75.10,192.168.75.253,+45 75 xx xx xx,+45 2x xx xx xx,Europe/Copenhagen,dk_site,Example Music (Danmark) ApS
