Code,Name,Category,ConnectionMethod,Emoji,DNSAlias,Notes
RTR,Router,Network Infrastructure,telnet,📡,,Upstream/ISP gateway — standard slot .1
FWL,Firewall,Network Infrastructure,ssh,🧱,,Standard slots .253 (FWL1) / .254 (FWL2)
SWI,Switch,Network Infrastructure,snmp,🔀,,Standard slots .250-.252
BMC,BMC / iDRAC / iLO / Redfish,Network Infrastructure,snmp,🔧,,Standard slots .2-.4. Not a devices.csv Type — synthesized directly from the standard-slot policy; RAC is its legacy devices.csv-row equivalent (see below)
RAC,BMC / iDRAC / iLO (legacy) / RAC emulator,Network Infrastructure,snmp,🔧,,Legacy devices.csv Type — being decommissioned in favour of the BMC standard slot; excluded from generation (ALWAYS_EXCLUDE_TYPES in generate_inventory.py). Same symbol as BMC
WAP,Wireless access point,Wireless,snmp,📶,,"Standard slots .82-.94 (static since 2026-07-08, moved off DHCP). Count varies per site (1-13+)"
DCS,Domain controller (current naming),Servers / Compute / Management,ssh,🗝️,,Standard slots .10 (DCS1) / .11 (DCS2)
DCR,Domain controller (legacy naming),Servers / Compute / Management,ssh,🗝️,,Legacy alias for DCS — devices.csv rows using DCR are typos and treated as DCS. Same symbol as DCS
PVE,Proxmox hypervisor node,Servers / Compute / Management,ssh,🗂️,,Standard slots .5-.7. Not a devices.csv Type (ALWAYS_EXCLUDE_TYPES) — handled by the standard template + group_vars/pvenodes/ directly
ESX,VMware ESXi hypervisor (legacy),Servers / Compute / Management,ssh,💾,,Added 2026-07-31 for old-network diagram restyling -- found live at FAL (EXAESXFAL001, single HP ML310e host), not PVE as the original hand-written box wrongly assumed. No VMware logo usable (trademarked, same rule as Cisco/AT&T/Atari elsewhere in this file) -- generic floppy disk, Robert's call, deliberately distinct from PVE's 🗂️
VCT,VMware vCenter (legacy cluster management),Servers / Compute / Management,https,🛰️,,Added 2026-07-31 -- found live at ODE (EXAVCTODE001), the real 3-node ESXi cluster's central management console. No VMware logo usable, same rule as ESX above -- satellite dish (a central controller directing distributed hosts), unassigned elsewhere, flagged for confirmation same as ESX's floppy disk
SVR,Generic server,Servers / Compute / Management,ssh,🗄️,,Current code for a generic/general-purpose server. Same symbol as SRV — SRV is the legacy predecessor, corrected 2026-08-04 (Robert's call, after an earlier commit had the direction backwards; see buildsheet-domainControllers.md)
SRV,Generic server (legacy),Servers / Compute / Management,ssh,🗄️,,Legacy alias for SVR — retired 2026-08-04, no live devices.csv rows use it any more. Same symbol as SVR
NAS,Storage (NAS/SAN — e.g. TrueNAS),Servers / Compute / Management,ssh,🗃️,,"Standard slot .19 (added 2026-07-19, replacing the retired .15 PRV convention)"
SBC,VOIP Session Border Controller,Servers / Compute / Management,ssh,🛡️,,"Standard slot .48. ""Border controller"" — a boundary/edge device"
PBX,Phone exchange (3CX PBX),Servers / Compute / Management,ssh,🔌,,
DNS,DNS server,Servers / Compute / Management,ssh,🧭,,
ANS,Ansible control node,Servers / Compute / Management,ssh,🤖,ansible,
RUD,Rudder (config mgmt),Servers / Compute / Management,ssh,⚙️,,"Standard slot .12 (single instance — CLD only). Was RDR until 2026-07-20, split apart because devices.csv reused the same three letters for a genuinely different thing (badge readers) — see RDR below. Proxmox VM"
MSH,MeshCentral (remote console/desktop platform),Servers / Compute / Management,ssh,🖧,mesh,"Added 2026-08-04 (Robert) — single instance, CLD only, .13. Debian trixie. Remote desktop/terminal/interactive PowerShell+CMD/Linux shell/file transfer — does not replace Salt (config mgmt stays Salt's job). Part of the remote management platform build, phased — see project notes. Emoji/DNSAlias picked to match ANS/SLT's existing convention, flagged for Robert to rename if he'd rather something else."
RMM,TacticalRMM (endpoint monitoring/inventory),Servers / Compute / Management,ssh,📊,rmm,"Added 2026-08-04 (Robert) — single instance, CLD only, .14. Debian trixie. Endpoint inventory/monitoring/alerting/dashboards/reporting only — explicitly NOT config management or software deployment, those stay Salt/Chocolatey's job. Part of the remote management platform build, phased — see project notes. Emoji/DNSAlias picked to match ANS/SLT's existing convention, flagged for Robert to rename if he'd rather something else."
SLT,Salt master (config mgmt — all Windows nodes),Servers / Compute / Management,ssh,🧂,salt,"CLD only (EXASLTCLD001, .22). Manages WKS/LAP/SUR/SVR/DCS minions via ansible/playbooks/windows_bootstrap/playbooks/82-salt-minion.yml (targets windows_nodes) -- TAB only when devices.csv's OS column says Windows (most real TAB rows are Android/iPadOS); MAC/MBP are future plans, not current scope. FWL/PVE stay Ansible-only, no Syndic tier at current scale (2026-07-20)"
