Site,City,Country,CountryCode,Subnet,Gateway,DC,FW,Landline,Mobile,Timezone,AnsibleRegion,Entity
AAR,Aarhus,Denmark,DK,192.168.86.0/24,192.168.86.253,192.168.86.10,192.168.86.253,+45 00 000 xxx,+45 2x xxx xxx,Europe/Aarhus,dk_site,Example Music (Danmark) ApS
ABD,Aberdeen,United Kingdom,UK,192.168.224.0/24,192.168.224.253,192.168.224.10,192.168.224.253,+44 1224 496 0xxx,+44 7700 900 2xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
AKL,Auckland,New Zealand,NZ,192.168.93.0/24,192.168.93.253,192.168.93.10,192.168.93.253,+64 9 300 0xxx,+64 21 900 2xxx,Pacific/Auckland,apac_site,Example Music (New Zealand) Tapui
AMS,Amsterdam,Netherlands,NL,192.168.31.0/24,192.168.31.253,192.168.31.10,192.168.31.253,N/A,N/A,Europe/Amsterdam,eu_site,Example Music (Nederland) B.V.
ATL,Atlanta,United States,US,192.168.33.0/24,192.168.33.253,192.168.33.10,192.168.33.253,+1 334 300 0xxx,+1 770 900 2xxx,America/Chicago,us_site,Example Music (US) LLC.
BER,Berlin,Germany,DE,192.168.113.0/24,192.168.113.253,192.168.113.10,192.168.113.253,+49 311 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BIR,Birmingham,United Kingdom,UK,192.168.121.0/24,192.168.121.253,192.168.121.10,192.168.121.253,+44 121 496 0xxx,+44 7700 900 2xxx,Europe/London,uk_site,Example Music (England) Ltd
BON,Bonn,Germany,DE,192.168.228.0/24,192.168.228.253,192.168.228.10,192.168.228.253,+49 228 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BRD,West Berlin (legacy alias for BER),Germany,DE,192.168.113.0/24,192.168.113.253,192.168.113.10,192.168.113.253,+49 311 555 xxx,+49 211 xxx xxxx,Europe/Berlin,de_site,Example Music (Deutschland) GmbH
BRK,Brockville,Canada,CA,192.168.136.0/24,192.168.136.253,192.168.136.10,192.168.136.253,+1 613 555 6xxx,+1 613 555 6xxx,America/Toronto,ca_site,Example Music (Canada) Inc.
BRT,Beirut,Lebanon,LB,192.168.169.0/24,192.168.169.253,192.168.169.10,192.168.169.253,+961 1 555 xxxx,+961 3 555 xxxx,Asia/Beirut,lb_site,Example Music (Lebanon) SAL
CHI,Chicago,United States,US,192.168.214.0/24,192.168.214.253,192.168.214.10,192.168.214.253,+1 312 555 xxxx,+1 773 900 xxxx,America/Chicago,us_site,Example Music (US) LLC.
CLD,CloudSite,Global,N/A,192.168.69.0/24,192.168.69.253,192.168.69.10,192.168.69.253,N/A,N/A,UTC,cloud_site,Example Music Limited
CLY,Clydebank,United Kingdom,UK,192.168.41.0/24,192.168.41.253,192.168.41.10,192.168.41.253,+44 141 496 00xx,+44 770 090 5xxx,Europe/London,uk_site,Example Music (Scotland) Ltd
COV,Coventry,United Kingdom,UK,192.168.247.0/24,192.168.247.253,192.168.247.10,192.168.247.253,+44 247 765 0xxx,+44 7700 901 2xxx,Europe/London,uk_site,Example Music (England) Ltd
